,rent,run,v_task,v_path
1,100.0,10.0,20.0,283.0
2,100.0,10.0,32.0,375.0
3,100.0,10.0,29.0,384.0
4,100.0,10.0,26.0,337.0
5,100.0,10.0,25.0,391.0
6,100.0,10.0,32.0,339.0
7,100.0,10.0,39.0,275.0
8,100.0,10.0,34.0,339.0
9,100.0,10.0,31.0,269.0
10,100.0,10.0,32.0,247.0
11,100.0,10.0,38.0,329.0
12,100.0,10.0,20.0,282.0
13,100.0,10.0,34.0,266.0
14,100.0,10.0,23.0,267.0
15,100.0,10.0,20.0,321.0
16,100.0,10.0,27.0,355.0
17,100.0,10.0,23.0,271.0
18,100.0,10.0,22.0,258.0
19,100.0,10.0,20.0,298.0
20,100.0,10.0,38.0,239.0
21,100.0,10.0,25.0,321.0
22,100.0,10.0,24.0,297.0
23,100.0,10.0,25.0,296.0
24,100.0,10.0,20.0,210.0
25,100.0,10.0,40.0,335.0
26,100.0,10.0,40.0,217.0
27,100.0,10.0,35.0,239.0
28,100.0,10.0,33.0,253.0
29,100.0,10.0,35.0,250.0
30,100.0,10.0,37.0,297.0
31,100.0,10.0,31.0,339.0
32,100.0,10.0,26.0,277.0
33,100.0,10.0,21.0,280.0
34,100.0,10.0,28.0,323.0
35,100.0,10.0,39.0,288.0
36,100.0,10.0,23.0,323.0
37,100.0,10.0,37.0,362.0
38,100.0,10.0,35.0,257.0
39,100.0,10.0,26.0,271.0
40,100.0,10.0,23.0,376.0
41,100.0,10.0,27.0,274.0
42,100.0,10.0,33.0,239.0
43,100.0,10.0,40.0,398.0
44,100.0,10.0,27.0,345.0
45,100.0,10.0,39.0,336.0
46,100.0,10.0,35.0,304.0
47,100.0,10.0,27.0,251.0
48,100.0,10.0,24.0,246.0
49,100.0,10.0,27.0,221.0
50,100.0,10.0,30.0,354.0
51,100.0,10.0,39.0,319.0
52,100.0,10.0,30.0,348.0
53,100.0,10.0,34.0,250.0
54,100.0,10.0,31.0,268.0
55,100.0,10.0,25.0,276.0
56,100.0,10.0,32.0,200.0
57,100.0,10.0,25.0,398.0
58,100.0,10.0,22.0,264.0
59,100.0,10.0,37.0,353.0
60,100.0,10.0,38.0,326.0
61,100.0,10.0,27.0,307.0
62,100.0,10.0,35.0,338.0
63,100.0,10.0,21.0,215.0
64,100.0,10.0,30.0,227.0
65,100.0,10.0,26.0,216.0
66,100.0,10.0,38.0,330.0
67,100.0,10.0,37.0,204.0
68,100.0,10.0,29.0,247.0
69,100.0,10.0,34.0,257.0
70,100.0,10.0,27.0,382.0
71,100.0,10.0,40.0,322.0
72,100.0,10.0,25.0,314.0
73,100.0,10.0,31.0,269.0
74,100.0,10.0,34.0,365.0
75,100.0,10.0,26.0,254.0
76,100.0,10.0,32.0,317.0
77,100.0,10.0,26.0,318.0
78,100.0,10.0,28.0,377.0
79,100.0,10.0,33.0,296.0
80,100.0,10.0,38.0,334.0
81,100.0,10.0,37.0,392.0
82,100.0,10.0,23.0,265.0
83,100.0,10.0,25.0,396.0
84,100.0,10.0,28.0,238.0
85,100.0,10.0,36.0,299.0
86,100.0,10.0,39.0,279.0
87,100.0,10.0,20.0,321.0
88,100.0,10.0,24.0,301.0
89,100.0,10.0,30.0,222.0
90,100.0,10.0,23.0,348.0
91,100.0,10.0,32.0,220.0
92,100.0,10.0,27.0,330.0
93,100.0,10.0,33.0,229.0
94,100.0,10.0,35.0,320.0
95,100.0,10.0,38.0,230.0
96,100.0,10.0,26.0,306.0
97,100.0,10.0,40.0,243.0
98,100.0,10.0,40.0,234.0
99,100.0,10.0,30.0,270.0
100,100.0,10.0,33.0,214.0
