,rent,run,v_task,v_path
0,100.0,13.0,36.0,301.0
1,100.0,13.0,36.0,301.0
2,100.0,13.0,36.0,301.0
3,100.0,9.0,20.0,314.0
4,100.0,9.0,20.0,314.0
5,100.0,9.0,20.0,314.0
6,100.0,15.0,39.0,379.0
7,100.0,15.0,39.0,379.0
8,100.0,15.0,39.0,379.0
9,100.0,15.0,39.0,379.0
10,100.0,13.0,36.0,301.0
11,100.0,13.0,36.0,301.0
12,100.0,13.0,36.0,301.0
13,100.0,9.0,20.0,314.0
14,100.0,9.0,20.0,314.0
15,100.0,9.0,20.0,314.0
16,100.0,15.0,39.0,379.0
17,100.0,15.0,39.0,379.0
18,100.0,15.0,39.0,379.0
19,100.0,15.0,39.0,379.0
