,rent,run,v_task,v_path
0,190.0,10.0,38.0,219.0
1,190.0,10.0,38.0,219.0
2,190.0,10.0,38.0,219.0
3,190.0,10.0,38.0,219.0
4,145.0,10.0,29.0,300.0
5,145.0,10.0,29.0,300.0
6,145.0,10.0,29.0,300.0
7,125.0,10.0,25.0,312.0
8,125.0,10.0,25.0,312.0
9,125.0,10.0,25.0,312.0
10,145.0,10.0,29.0,300.0
11,145.0,10.0,29.0,300.0
12,145.0,10.0,29.0,300.0
13,125.0,10.0,25.0,312.0
14,125.0,10.0,25.0,312.0
15,125.0,10.0,25.0,312.0
16,190.0,10.0,38.0,219.0
17,190.0,10.0,38.0,219.0
18,190.0,10.0,38.0,219.0
19,190.0,10.0,38.0,219.0
