,rent,run,v_task,v_path
0,100.0,10.0,29.0,300.0
1,100.0,10.0,29.0,300.0
2,100.0,10.0,29.0,300.0
3,100.0,10.0,25.0,312.0
4,100.0,10.0,25.0,312.0
5,100.0,10.0,25.0,312.0
6,100.0,10.0,38.0,219.0
7,100.0,10.0,38.0,219.0
8,100.0,10.0,38.0,219.0
9,100.0,10.0,38.0,219.0
10,100.0,10.0,29.0,300.0
11,100.0,10.0,29.0,300.0
12,100.0,10.0,29.0,300.0
13,100.0,10.0,25.0,312.0
14,100.0,10.0,25.0,312.0
15,100.0,10.0,25.0,312.0
16,100.0,10.0,38.0,219.0
17,100.0,10.0,38.0,219.0
18,100.0,10.0,38.0,219.0
19,100.0,10.0,38.0,219.0
